23.06.2015 13:26:04,079 INFO  logic.ProcessingAirplane - Processing of the airplane ID-28 is complete
23.06.2015 13:26:04,079 INFO  logic.ProcessingAirplane - Processing airplane ID-42, passanger count 28, necessary time 2800
23.06.2015 13:26:04,079 INFO  logic.ProcessingAirplane - Use terminal number 1, airplane ID-42
23.06.2015 13:26:04,220 INFO  creator.GenerateAirplane - Generate new airplane ID-44, passanger 53
23.06.2015 13:26:04,220 INFO  logic.ProcessingAirplane - The airplane ID-44 expects service
23.06.2015 13:26:04,735 INFO  creator.GenerateAirplane - Generate new airplane ID-45, passanger 16
23.06.2015 13:26:04,738 INFO  logic.ProcessingAirplane - The airplane ID-45 expects service
23.06.2015 13:26:05,238 INFO  creator.GenerateAirplane - Generate new airplane ID-46, passanger 63
23.06.2015 13:26:05,238 INFO  logic.ProcessingAirplane - The airplane ID-46 expects service
23.06.2015 13:26:05,739 INFO  creator.GenerateAirplane - Generate new airplane ID-47, passanger 51
23.06.2015 13:26:05,740 INFO  logic.ProcessingAirplane - The airplane ID-47 expects service
23.06.2015 13:26:06,242 INFO  creator.GenerateAirplane - Generate new airplane ID-48, passanger 38
23.06.2015 13:26:06,242 INFO  logic.ProcessingAirplane - The airplane ID-48 expects service
23.06.2015 13:26:06,679 INFO  logic.ProcessingAirplane - Processing of the airplane ID-19 is complete
23.06.2015 13:26:06,679 INFO  logic.ProcessingAirplane - Processing airplane ID-27, passanger count 34, necessary time 3400
23.06.2015 13:26:06,679 INFO  logic.ProcessingAirplane - Use terminal number 3, airplane ID-27
23.06.2015 13:26:06,743 INFO  creator.GenerateAirplane - Generate new airplane ID-49, passanger 29
23.06.2015 13:26:06,743 INFO  logic.ProcessingAirplane - The airplane ID-49 expects service
23.06.2015 13:26:06,886 INFO  logic.ProcessingAirplane - Processing of the airplane ID-42 is complete
23.06.2015 13:26:06,886 INFO  logic.ProcessingAirplane - Processing airplane ID-43, passanger count 66, necessary time 6600
23.06.2015 13:26:06,886 INFO  logic.ProcessingAirplane - Use terminal number 1, airplane ID-43
23.06.2015 13:26:07,245 INFO  creator.GenerateAirplane - Generate new airplane ID-50, passanger 20
23.06.2015 13:26:07,245 INFO  logic.ProcessingAirplane - The airplane ID-50 expects service
23.06.2015 13:26:07,308 INFO  logic.ProcessingAirplane - Processing of the airplane ID-25 is complete
23.06.2015 13:26:07,308 INFO  logic.ProcessingAirplane - Processing airplane ID-39, passanger count 58, necessary time 5800
23.06.2015 13:26:07,308 INFO  logic.ProcessingAirplane - Use ladder number 3, airplane ID-39
23.06.2015 13:26:07,496 INFO  logic.ProcessingAirplane - Processing of the airplane ID-30 is complete
23.06.2015 13:26:07,496 INFO  logic.ProcessingAirplane - Processing airplane ID-49, passanger count 29, necessary time 2900
23.06.2015 13:26:07,496 INFO  logic.ProcessingAirplane - Use ladder number 2, airplane ID-49
23.06.2015 13:26:07,689 INFO  logic.ProcessingAirplane - Processing of the airplane ID-31 is complete
23.06.2015 13:26:07,689 INFO  logic.ProcessingAirplane - Processing airplane ID-50, passanger count 20, necessary time 2000
23.06.2015 13:26:07,689 INFO  logic.ProcessingAirplane - Use ladder number 1, airplane ID-50
23.06.2015 13:26:07,751 INFO  creator.GenerateAirplane - Generate new airplane ID-51, passanger 39
23.06.2015 13:26:07,753 INFO  logic.ProcessingAirplane - The airplane ID-51 expects service
23.06.2015 13:26:08,238 INFO  logic.ProcessingAirplane - Processing of the airplane ID-26 is complete
23.06.2015 13:26:08,238 INFO  logic.ProcessingAirplane - Processing airplane ID-29, passanger count 39, necessary time 3900
23.06.2015 13:26:08,238 INFO  logic.ProcessingAirplane - Use ladder number 5, airplane ID-29
23.06.2015 13:26:08,254 INFO  creator.GenerateAirplane - Generate new airplane ID-52, passanger 56
23.06.2015 13:26:08,254 INFO  logic.ProcessingAirplane - The airplane ID-52 expects service
23.06.2015 13:26:08,770 INFO  creator.GenerateAirplane - Generate new airplane ID-53, passanger 18
23.06.2015 13:26:08,771 INFO  logic.ProcessingAirplane - The airplane ID-53 expects service
23.06.2015 13:26:09,272 INFO  creator.GenerateAirplane - Generate new airplane ID-54, passanger 18
